bus_id,period,mileage,mileage_bin,replaced,group
1,1,0.0,0,0,1
1,2,0.0,0,0,1
1,3,5.0,1,0,1
1,4,5.0,1,0,1
1,5,5.0,1,0,1
1,6,5.0,1,0,1
1,7,10.0,2,0,1
1,8,15.0,3,0,1
1,9,15.0,3,0,1
1,10,15.0,3,0,1
1,11,20.0,4,0,1
1,12,25.0,5,0,1
1,13,25.0,5,0,1
1,14,25.0,5,0,1
1,15,30.0,6,0,1
1,16,30.0,6,0,1
1,17,30.0,6,0,1
1,18,30.0,6,0,1
1,19,30.0,6,0,1
1,20,30.0,6,0,1
1,21,35.0,7,0,1
1,22,35.0,7,0,1
1,23,40.0,8,0,1
1,24,45.0,9,0,1
1,25,50.0,10,0,1
1,26,50.0,10,0,1
1,27,55.0,11,0,1
1,28,55.0,11,0,1
1,29,60.0,12,0,1
1,30,65.0,13,0,1
1,31,70.0,14,0,1
1,32,75.0,15,0,1
1,33,75.0,15,0,1
1,34,75.0,15,0,1
1,35,80.0,16,0,1
1,36,80.0,16,0,1
1,37,85.0,17,0,1
1,38,90.0,18,0,1
1,39,95.0,19,0,1
1,40,100.0,20,1,1
1,41,0.0,0,0,1
1,42,0.0,0,0,1
1,43,0.0,0,0,1
1,44,5.0,1,0,1
1,45,10.0,2,0,1
1,46,15.0,3,0,1
1,47,20.0,4,0,1
1,48,25.0,5,0,1
1,49,30.0,6,0,1
1,50,35.0,7,0,1
1,51,40.0,8,0,1
1,52,45.0,9,0,1
1,53,50.0,10,0,1
1,54,50.0,10,0,1
1,55,50.0,10,0,1
1,56,55.0,11,0,1
1,57,55.0,11,0,1
1,58,60.0,12,0,1
1,59,65.0,13,0,1
1,60,70.0,14,0,1
1,61,75.0,15,0,1
1,62,80.0,16,0,1
1,63,85.0,17,0,1
1,64,90.0,18,0,1
1,65,95.0,19,0,1
1,66,100.0,20,0,1
1,67,105.0,21,0,1
1,68,105.0,21,0,1
1,69,105.0,21,0,1
1,70,110.0,22,0,1
1,71,115.0,23,0,1
1,72,120.0,24,0,1
1,73,125.0,25,0,1
1,74,125.0,25,0,1
1,75,130.0,26,0,1
1,76,135.0,27,0,1
1,77,140.0,28,0,1
1,78,145.0,29,1,1
1,79,0.0,0,0,1
1,80,5.0,1,0,1
1,81,5.0,1,0,1
1,82,10.0,2,0,1
1,83,15.0,3,1,1
1,84,0.0,0,0,1
1,85,0.0,0,0,1
1,86,5.0,1,0,1
1,87,5.0,1,0,1
