bus_id,period,mileage,mileage_bin,replaced,group
1,1,0.504,0,0,1
1,2,2.705,0,0,1
1,3,7.345,1,0,1
1,4,11.591,2,0,1
1,5,16.057,3,0,1
1,6,20.796,4,0,1
1,7,25.299,5,0,1
1,8,29.311,5,0,1
1,9,34.621,6,0,1
1,10,39.738,7,0,1
1,11,42.477,8,0,1
1,12,47.038,9,0,1
1,13,52.917,10,0,1
1,14,57.723,11,0,1
1,15,63.005,12,0,1
1,16,67.321,13,0,1
1,17,72.315,14,0,1
1,18,75.145,15,0,1
1,19,79.329,15,0,1
1,20,83.318,16,0,1
1,21,87.139,17,0,1
1,22,90.723,18,0,1
1,23,93.915,18,0,1
1,24,97.306,19,0,1
1,25,101.288,20,0,1
2,1,0.537,0,0,1
2,2,0.57,0,0,1
2,3,0.57,0,0,1
2,4,4.699,0,0,1
2,5,9.235,1,0,1
2,6,13.637,2,0,1
2,7,17.366,3,0,1
2,8,21.52,4,0,1
2,9,25.33,5,0,1
2,10,29.111,5,0,1
2,11,32.898,6,0,1
2,12,37.314,7,0,1
2,13,42.512,8,0,1
2,14,47.629,9,0,1
2,15,52.183,10,0,1
2,16,58.3,11,0,1
2,17,63.962,12,0,1
2,18,67.756,13,0,1
2,19,73.19,14,0,1
2,20,76.75,15,0,1
2,21,82.139,16,0,1
2,22,87.215,17,0,1
2,23,90.778,18,0,1
2,24,95.605,19,0,1
2,25,99.782,19,0,1
3,1,0.508,0,0,1
3,2,2.953,0,0,1
3,3,7.506,1,0,1
3,4,12.056,2,0,1
3,5,16.864,3,0,1
3,6,20.89,4,0,1
3,7,24.925,4,0,1
3,8,29.144,5,0,1
3,9,33.675,6,0,1
3,10,39.164,7,0,1
3,11,42.85,8,0,1
3,12,48.826,9,0,1
3,13,53.828,10,0,1
3,14,58.009,11,0,1
3,15,63.168,12,0,1
3,16,66.932,13,0,1
3,17,72.274,14,0,1
3,18,77.193,15,0,1
3,19,82.443,16,0,1
3,20,87.852,17,0,1
3,21,92.741,18,0,1
3,22,96.007,19,0,1
3,23,99.176,19,0,1
3,24,103.253,20,0,1
3,25,106.585,21,0,1
4,1,0.525,0,0,1
4,2,2.507,0,0,1
4,3,5.59,1,0,1
4,4,7.905,1,0,1
4,5,11.959,2,0,1
4,6,15.385,3,0,1
4,7,19.142,3,0,1
4,8,21.704,4,0,1
4,9,25.325,5,0,1
4,10,25.748,5,0,1
4,11,25.748,5,0,1
4,12,26.674,5,0,1
4,13,29.321,5,0,1
4,14,31.152,6,0,1
4,15,34.233,6,0,1
4,16,37.48,7,0,1
4,17,41.4,8,0,1
4,18,44.822,8,0,1
4,19,47.244,9,0,1
4,20,50.633,10,0,1
4,21,54.712,10,0,1
4,22,57.62,11,0,1
4,23,60.246,12,0,1
4,24,62.881,12,0,1
4,25,65.643,13,0,1
5,1,0.586,0,0,1
5,2,1.069,0,0,1
5,3,5.574,1,0,1
5,4,10.279,2,0,1
5,5,14.819,2,0,1
5,6,18.742,3,0,1
5,7,22.962,4,0,1
5,8,27.09,5,0,1
5,9,32.724,6,0,1
5,10,38.393,7,0,1
5,11,43.046,8,0,1
5,12,46.289,9,0,1
5,13,51.053,10,0,1
5,14,55.643,11,0,1
5,15,59.412,11,0,1
5,16,64.405,12,0,1
5,17,69.883,13,0,1
5,18,74.763,14,0,1
5,19,80.394,16,0,1
5,20,84.105,16,0,1
5,21,86.739,17,0,1
5,22,90.15,18,0,1
5,23,93.963,18,0,1
5,24,97.126,19,0,1
5,25,100.022,20,0,1
6,1,0.575,0,0,1
6,2,2.596,0,0,1
6,3,7.068,1,0,1
6,4,9.552,1,0,1
6,5,9.552,1,0,1
6,6,9.552,1,0,1
6,7,10.589,2,0,1
6,8,14.055,2,0,1
6,9,18.502,3,0,1
6,10,22.91,4,0,1
6,11,26.362,5,0,1
6,12,31.619,6,0,1
6,13,36.302,7,0,1
6,14,40.316,8,0,1
6,15,46.109,9,0,1
6,16,50.127,10,0,1
6,17,55.132,11,0,1
6,18,59.885,11,0,1
6,19,63.437,12,0,1
6,20,66.721,13,0,1
6,21,69.248,13,0,1
6,22,71.968,14,0,1
6,23,75.791,15,0,1
6,24,79.301,15,0,1
6,25,80.777,16,0,1
7,1,0.504,0,0,1
7,2,1.929,0,0,1
7,3,6.851,1,0,1
7,4,11.176,2,0,1
7,5,16.607,3,0,1
7,6,22.331,4,0,1
7,7,27.372,5,0,1
7,8,32.04,6,0,1
7,9,38.724,7,0,1
7,10,43.782,8,0,1
7,11,48.088,9,0,1
7,12,52.802,10,0,1
7,13,56.899,11,0,1
7,14,61.476,12,0,1
7,15,67.537,13,0,1
7,16,72.579,14,0,1
7,17,79.359,15,0,1
7,18,84.539,16,0,1
7,19,89.747,17,0,1
7,20,95.097,19,0,1
7,21,100.409,20,0,1
7,22,104.848,20,0,1
7,23,109.12,21,0,1
7,24,114.299,22,0,1
7,25,120.151,24,0,1
8,1,0.524,0,0,1
8,2,3.079,0,0,1
8,3,7.579,1,0,1
8,4,13.139,2,0,1
8,5,17.694,3,0,1
8,6,21.241,4,0,1
8,7,25.864,5,0,1
8,8,30.61,6,0,1
8,9,36.587,7,0,1
8,10,40.674,8,0,1
8,11,45.544,9,0,1
8,12,50.857,10,0,1
8,13,54.946,10,0,1
8,14,60.591,12,0,1
8,15,65.775,13,0,1
8,16,71.554,14,0,1
8,17,76.979,15,0,1
8,18,80.984,16,0,1
8,19,83.764,16,0,1
8,20,86.367,17,0,1
8,21,90.724,18,0,1
8,22,94.355,18,0,1
8,23,95.898,19,0,1
8,24,98.102,19,0,1
8,25,101.423,20,0,1
9,1,0.517,0,0,1
9,2,0.768,0,0,1
9,3,5.623,1,0,1
9,4,8.762,1,0,1
9,5,13.725,2,0,1
9,6,18.064,3,0,1
9,7,22.696,4,0,1
9,8,28.531,5,0,1
9,9,33.92,6,0,1
9,10,39.953,7,0,1
9,11,43.303,8,0,1
9,12,48.642,9,0,1
9,13,53.555,10,0,1
9,14,58.275,11,0,1
9,15,62.317,12,0,1
9,16,67.822,13,0,1
9,17,73.822,14,0,1
9,18,78.016,15,0,1
9,19,81.457,16,0,1
9,20,86.493,17,0,1
9,21,91.128,18,0,1
9,22,95.272,19,0,1
9,23,97.239,19,0,1
9,24,98.837,19,0,1
9,25,103.872,20,0,1
10,1,0.491,0,0,1
10,2,1.314,0,0,1
10,3,5.558,1,0,1
10,4,10.319,2,0,1
10,5,15.02,3,0,1
10,6,19.582,3,0,1
10,7,23.758,4,0,1
10,8,28.834,5,0,1
